countryIsoCode,2010,2019,Grand Total
AFG,0.707,0.676,1.383
AGO,0.554,0.533,1.087
ALB,0.192,0.131,0.323
ARE,0.177,0.045,0.222
ARG,0.372,0.291,0.663
ARM,0.346,0.219,0.565
AUS,0.136,0.08,0.216
AUT,0.11,0.053,0.163
AZE,0.342,0.317,0.659
BDI,0.535,0.499,1.034
BEL,0.092,0.048,0.14
BEN,0.636,0.652,1.288
BFA,0.602,0.594,1.196
BGD,0.602,0.521,1.123
BGR,0.229,0.205,0.434
BHR,0.259,0.194,0.453
BHS,0.369,0.335,0.704
BIH,0.215,0.146,0.361
BLR,0.148,0.098,0.246
BLZ,0.407,0.46,0.867
BOL,0.477,0.426,0.903
BRA,0.448,0.396,0.844
BRB,0.35,0.309,0.659
BRN,,0.285,0.285
BTN,0.476,0.332,0.808
BWA,0.502,0.458,0.96
CAN,0.139,0.075,0.214
CHE,0.057,0.018,0.075
CHL,0.351,0.214,0.565
CHN,0.247,0.187,0.434
CIV,0.639,0.623,1.262
CMR,0.62,0.564,1.184
COD,0.66,0.618,1.278
COG,0.618,0.589,1.207
COL,0.452,0.408,0.86
CPV,,0.353,0.353
CRI,0.318,0.239,0.557
CUB,0.333,0.307,0.64
CYP,0.191,0.235,0.426
CZE,0.139,0.124,0.263
DEU,0.096,0.079,0.175
DNK,0.049,0.016,0.065
DOM,0.488,0.448,0.936
DZA,0.517,0.397,0.914
ECU,0.431,0.387,0.818
EGY,0.547,0.418,0.965
ESP,0.105,0.056,0.161
EST,0.159,0.092,0.251
ETH,0.599,0.506,1.105
FIN,0.071,0.031,0.102
FJI,0.405,0.337,0.742
FRA,0.129,0.086,0.215
GAB,0.52,0.527,1.047
GBR,0.179,0.106,0.285
GEO,0.432,0.3,0.732
GHA,0.57,0.517,1.087
GIN,,0.628,0.628
GMB,0.66,0.587,1.247
GNB,,0.635,0.635
GRC,0.153,0.122,0.275
GTM,0.539,0.495,1.034
GUY,,0.433,0.433
HND,0.467,0.43,0.897
HRV,0.136,0.119,0.255
HTI,0.608,0.624,1.232
HUN,0.251,0.239,0.49
IDN,0.497,0.45,0.947
IND,0.563,0.476,1.039
IRL,0.163,0.079,0.242
IRN,0.546,0.464,1.01
IRQ,0.602,0.572,1.174
ISL,0.092,0.051,0.143
ISR,0.145,0.098,0.243
ITA,0.123,0.054,0.177
JAM,0.428,0.376,0.804
JOR,0.487,0.45,0.937
JPN,0.117,0.083,0.2
KAZ,0.266,0.19,0.456
KEN,0.603,0.541,1.144
KGZ,0.363,0.354,0.717
KHM,0.514,0.492,1.006
KOR,0.095,0.075,0.17
KWT,0.209,0.225,0.434
LAO,0.533,0.472,1.005
LBN,0.432,0.386,0.818
LBR,0.66,0.653,1.313
LBY,0.286,0.269,0.555
LCA,0.363,0.355,0.718
LKA,0.415,0.369,0.784
LSO,0.59,0.57,1.16
LTU,0.149,0.122,0.271
LUX,0.11,0.059,0.169
LVA,0.229,0.166,0.395
MAR,0.549,0.448,0.997
MDA,0.24,0.185,0.425
MDG,0.607,0.575,1.182
MDV,0.402,0.336,0.738
MEX,0.417,0.36,0.777
MKD,0.172,0.134,0.306
MLI,0.667,0.659,1.326
MLT,0.264,0.162,0.426
MMR,,0.497,0.497
MNE,0.21,0.118,0.328
MNG,0.415,0.311,0.726
MOZ,0.542,0.495,1.037
MRT,0.638,0.602,1.24
MUS,0.373,0.328,0.701
MWI,0.612,0.579,1.191
MYS,0.264,0.201,0.465
NAM,0.538,0.454,0.992
NER,0.692,0.626,1.318
NGA,0.67,0.694,1.364
NIC,0.47,0.408,0.878
NLD,0.052,0.028,0.08
NOR,0.07,0.016,0.086
NPL,0.527,0.502,1.029
NZL,0.166,0.1,0.266
OMN,0.34,0.261,0.601
PAK,0.593,0.542,1.135
PAN,0.483,0.395,0.878
PER,0.401,0.383,0.784
PHL,0.443,0.392,0.835
PNG,0.682,0.816,1.498
POL,0.171,0.111,0.282
PRT,0.127,0.078,0.205
PRY,0.484,0.435,0.919
QAT,0.669,0.167,0.836
ROU,0.343,0.232,0.575
RUS,0.275,0.164,0.439
RWA,0.453,0.411,0.864
SAU,0.746,0.278,1.024
SDN,0.614,0.561,1.175
SEN,0.576,0.51,1.086
SGP,0.085,0.05,0.135
SLE,0.652,0.615,1.267
SLV,0.396,0.358,0.754
SRB,0.207,0.118,0.325
SUR,0.513,0.406,0.919
SVK,0.203,0.194,0.397
SVN,0.128,0.07,0.198
SWE,0.051,0.023,0.074
SWZ,,0.521,0.521
SYR,0.493,0.487,0.98
TCD,,0.7,0.7
TGO,0.627,0.584,1.211
THA,0.365,0.316,0.681
TJK,0.369,0.291,0.66
TLS,0.53,0.42,0.95
TON,,0.43,0.43
TTO,0.335,0.269,0.604
TUN,0.287,0.262,0.549
TUR,0.416,0.277,0.693
TZA,0.564,0.52,1.084
UGA,0.549,0.528,1.077
UKR,0.296,0.158,0.454
URY,0.324,0.267,0.591
USA,0.244,0.192,0.436
UZB,0.271,0.251,0.522
VEN,0.489,0.497,0.986
VNM,0.363,0.391,0.754
WSM,,0.432,0.432
YEM,0.792,0.789,1.581
ZAF,0.456,0.408,0.864
ZMB,0.58,0.521,1.101
ZWE,0.594,0.527,1.121
Grand Total,59.874,56.349,116.223
